"Girokonto";"DE12 3456 7890 1234 5678 90"
"Zeitraum:";"01.01.2025 - 31.03.2025"
"Kontostand vom 31.03.2025:";"2.847,63 €"

"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz"
"11.02.2025";"11.02.2025";"Gebucht";"";"Lidl Stiftung Co. KG";"Einkauf Lebensmittel";"Lastschrift";"DE98200400600862003200";"-44,65";"";"";"2025021101"
"12.02.2025";"12.02.2025";"Gebucht";"";"Stadtwerke München GmbH";"Strom und Gas Februar 2025";"Lastschrift";"DE21200400601234567891";"-89,00";"DE98ZZZ09999999999";"MW-2025-02";"2025021201"
"13.02.2025";"13.02.2025";"Gebucht";"";"dm-drogerie markt GmbH";"Shampoo Zahnpasta Reiniger";"Lastschrift";"DE21700202700123456789";"-19,90";"";"";"2025021301"
"14.02.2025";"14.02.2025";"Gebucht";"";"Restaurant Valentino";"Valentinstag Dinner für 2";"Lastschrift";"DE44200400600501005005";"-88,00";"";"";"2025021401"
"17.02.2025";"17.02.2025";"Gebucht";"";"Amazon EU S.a.r.l.";"Bestellung Nr. 302-9876543-2109876";"Lastschrift";"LU151221348071111111";"-22,49";"LU96ZZZ0000000000000000001";"AMZ-2025-002";"2025021701"
"18.02.2025";"18.02.2025";"Gebucht";"";"Café Central München";"Latte Macchiato und Muffin";"Lastschrift";"DE44200400600501002002";"-7,20";"";"";"2025021801"
"19.02.2025";"19.02.2025";"Gebucht";"";"Fitness First GmbH";"Mitgliedsbeitrag Februar 2025";"Lastschrift";"DE12500105170648489890";"-39,90";"DE98ZZZ09111111111";"FF-2025-02";"2025021901"
"20.02.2025";"20.02.2025";"Gebucht";"";"Vodafone GmbH";"Mobilfunk Rechnung Februar";"Lastschrift";"DE62200400600200555555";"-34,99";"DE36ZZZ00000004294";"VF-MOBIL-002";"2025022001"
"24.02.2025";"24.02.2025";"Gebucht";"";"Zalando SE";"Bestellung Schuhe und Jacke";"Lastschrift";"DE56300209002592000048";"-79,98";"DE94ZZZ00000027100";"ZAL-2025-001";"2025022401"
"25.02.2025";"25.02.2025";"Gebucht";"";"Bäckerei Müller GmbH";"Sauerteigbrot und Brötchen";"Lastschrift";"DE44200400600501001001";"-4,40";"";"";"2025022501"
"27.02.2025";"27.02.2025";"Gebucht";"";"Hausverwaltung Hauptstr. 12";"Miete März 2025 Wohnung 3. OG";"Dauerauftrag";"DE89200400601234123412";"-980,00";"";"";"MIETE-2025-02"
"28.02.2025";"28.02.2025";"Gebucht";"";"ARD ZDF Deutschlandradio";"Rundfunkbeitrag Q1 2025";"Lastschrift";"DE05600501017402051588";"-18,36";"DE03ZZZ00000060438";"GEZ-2025-02";"2025022801"
"03.03.2025";"03.03.2025";"Gebucht";"";"Spotify AB";"Spotify Premium Abo März";"Lastschrift";"SE1212000000012171003989";"-9,99";"SE59ZZZ09368111746";"SPOTIFY-003";"2025030302"
"04.03.2025";"04.03.2025";"Gebucht";"";"REWE Markt GmbH";"Einkauf Lebensmittel Woche";"Lastschrift";"DE98765432109876543210";"-62,34";"";"";"2025030401"
"05.03.2025";"05.03.2025";"Gebucht";"Mustermann GmbH";"";"Gehalt März 2025 Max Mustermann";"Gutschrift";"DE11111111111111111111";"2.850,00";"";"";"GEHALT-2025-03"
"06.03.2025";"06.03.2025";"Gebucht";"";"Bäckerei Müller GmbH";"Hefezopf und Brötchen";"Lastschrift";"DE44200400600501001001";"-5,80";"";"";"2025030601"
"07.03.2025";"07.03.2025";"Gebucht";"";"Tankstelle Shell AG";"Kraftstoff Super Plus";"Lastschrift";"DE89370400440532013000";"-75,00";"";"";"2025030701"
"10.03.2025";"10.03.2025";"Gebucht";"";"Netflix International B.V.";"Netflix Streaming März";"Lastschrift";"NL57INGB0000096123";"-13,99";"NL08ZZZ806282806689";"NETFLIX-20250310";"2025031001"
"11.03.2025";"11.03.2025";"Gebucht";"";"Lidl Stiftung Co. KG";"Wocheneinkauf Lebensmittel";"Lastschrift";"DE98200400600862003200";"-61,03";"";"";"2025031101"
"12.03.2025";"12.03.2025";"Gebucht";"";"Stadtwerke München GmbH";"Strom und Gas März 2025";"Lastschrift";"DE21200400601234567891";"-89,00";"DE98ZZZ09999999999";"MW-2025-03";"2025031201"
"13.03.2025";"13.03.2025";"Gebucht";"";"dm-drogerie markt GmbH";"Sonnencreme Bodylotion Duschgel";"Lastschrift";"DE21700202700123456789";"-33,15";"";"";"2025031301"
"14.03.2025";"14.03.2025";"Gebucht";"";"Café Central München";"Cappuccino und Kuchen";"Lastschrift";"DE44200400600501002002";"-5,90";"";"";"2025031401"
"17.03.2025";"17.03.2025";"Gebucht";"";"Fitness First GmbH";"Mitgliedsbeitrag März 2025";"Lastschrift";"DE12500105170648489890";"-39,90";"DE98ZZZ09111111111";"FF-2025-03";"2025031701"
"18.03.2025";"18.03.2025";"Gebucht";"";"Vodafone GmbH";"Mobilfunk Rechnung März";"Lastschrift";"DE62200400600200555555";"-34,99";"DE36ZZZ00000004294";"VF-MOBIL-003";"2025031801"
"19.03.2025";"19.03.2025";"Gebucht";"";"Amazon EU S.a.r.l.";"Bestellung Nr. 302-5554321-1234567";"Lastschrift";"LU151221348071111111";"-56,99";"LU96ZZZ0000000000000000001";"AMZ-2025-003";"2025031901"
"20.03.2025";"20.03.2025";"Gebucht";"";"Restaurant Zum Wirt";"Mittagessen Kollegen";"Lastschrift";"DE44200400600501004004";"-36,50";"";"";"2025032001"
"21.03.2025";"21.03.2025";"Gebucht";"";"Bäckerei Müller GmbH";"Vollkornbrot und Laugenbrezel";"Lastschrift";"DE44200400600501001001";"-4,20";"";"";"2025032101"
"24.03.2025";"24.03.2025";"Gebucht";"";"Parkhaus City München";"Parken Einkaufszentrum 2h";"Lastschrift";"DE44200400600501003003";"-7,00";"";"";"2025032401"
"25.03.2025";"25.03.2025";"Gebucht";"";"ALDI Süd";"Einkauf Lebensmittel und Getränke";"Lastschrift";"DE27200400600405050400";"-49,88";"";"";"2025032501"
"27.03.2025";"27.03.2025";"Gebucht";"";"Hausverwaltung Hauptstr. 12";"Miete April 2025 Wohnung 3. OG";"Dauerauftrag";"DE89200400601234123412";"-980,00";"";"";"MIETE-2025-03"
"28.03.2025";"28.03.2025";"Gebucht";"";"ARD ZDF Deutschlandradio";"Rundfunkbeitrag Q2 2025";"Lastschrift";"DE05600501017402051588";"-18,36";"DE03ZZZ00000060438";"GEZ-2025-03";"2025032801"
"31.03.2025";"31.03.2025";"Gebucht";"";"Zalando SE";"Bestellung Sommerschuhe";"Lastschrift";"DE56300209002592000048";"-44,95";"DE94ZZZ00000027100";"ZAL-2025-002";"2025033101"
